product_group,automated_status,month_of_send,year_of_send,automated_projects,delivery_label,campaign_code,number_of_sends,delivery_channel,automated_sends,manual_sends,total_broadcast_sends
product 3,Automated,6,2021,Campaign BG,Campaign BG_RB75,PI22,77,Web Message,1,0,77
product 5,Automated,5,2021,Campaign Z,Campaign Z_EK62,UK60,77,Email,1,0,77
product 5,Automated,8,2021,Campaign Z,Campaign Z_NZ89,UH41,77,Email,1,0,77
product 5,Automated,4,2021,Campaign Z,Campaign Z_XY52,QC35,77,Email,1,0,77
product 3,Automated,5,2021,Campaign_569,Campaign_569_WE69,HT92,76,Email,1,0,76
product 5,Automated,2,2021,Campaign Z,Campaign Z_VF70,UU16,75,Email,1,0,75
product 3,Automated,5,2021,Campaign BG,Campaign BG_VU26,BE30,75,Web Message,1,0,75
product 5,Automated,6,2021,Campaign Z,Campaign Z_KX99,DV78,75,Email,1,0,75
product 5,Automated,1,2021,Campaign Z,Campaign Z_LS99,DM46,75,Email,1,0,75
product 5,Automated,1,2021,Campaign Z,Campaign Z_GP26,XO47,74,Email,1,0,74
product 5,Automated,7,2021,Campaign Z,Campaign Z_JC76,OO31,74,Email,1,0,74
product 5,Automated,5,2021,Campaign Z,Campaign Z_JR85,ZH62,74,Email,1,0,74
product 5,Automated,7,2021,Campaign Z,Campaign Z_WZ58,PG47,74,Email,1,0,74
product 3,Automated,8,2021,Campaign_45,Campaign_45_JI75,CL59,72,Email,1,0,72
product 3,Automated,3,2021,Campaign_367,Campaign_367_ET95,HZ39,70,Email,1,0,70
product 5,Automated,6,2021,Campaign Z,Campaign Z_FB56,JU16,70,Email,1,0,70
product 3,Automated,8,2021,Campaign_533,Campaign_533_PV97,KX83,69,Email,1,0,69
product 5,Automated,2,2021,Campaign Z,Campaign Z_VJ77,DG17,68,Email,1,0,68
product 3,Automated,7,2021,Campaign BG,Campaign BG_SZ63,AR90,67,Web Message,1,0,67
product 3,Automated,6,2021,Campaign_84,Campaign_84_YC72,BN53,66,Email,1,0,66
product 1,Automated,5,2021,Campaign_223,Campaign_223_YN93,JJ66,66,Email,1,0,66
product 3,Automated,4,2021,Campaign_904,Campaign_904_JC56,DS55,66,Email,1,0,66
product 3,Automated,7,2021,Campaign_355,Campaign_355_VV16,IL33,65,Email,1,0,65
product 3,Automated,3,2021,Campaign_263,Campaign_263_BQ65,QO53,64,Email,1,0,64
product 3,Automated,5,2021,Campaign_218,Campaign_218_OV10,ZK79,64,Mobile (SMS),1,0,64
product 3,Automated,7,2021,Campaign_872,Campaign_872_OM39,XP45,63,Email,1,0,63
product 3,Automated,6,2021,Campaign_227,Campaign_227_NP10,LW61,62,Email,1,0,62
product 3,Automated,8,2021,Campaign_803,Campaign_803_HW35,VV11,62,Email,1,0,62
product 3,Automated,5,2021,Campaign_561,Campaign_561_UA28,OQ47,62,Email,1,0,62
product 3,Automated,4,2021,Campaign_430,Campaign_430_LW56,PF40,61,Email,1,0,61
product 3,Automated,3,2021,Campaign BG,Campaign BG_YD21,OG70,61,Web Message,1,0,61
product 3,Automated,6,2021,Campaign_122,Campaign_122_CV59,DP96,60,Mobile (SMS),1,0,60
product 3,Automated,9,2021,Campaign_527,Campaign_527_DU91,FL47,60,Email,1,0,60
product 3,Automated,9,2021,Campaign BG,Campaign BG_XH60,KZ78,60,Web Message,1,0,60
product 3,Automated,5,2021,Campaign_773,Campaign_773_FY94,ND17,57,Email,1,0,57
product 5,Automated,3,2021,Campaign Z,Campaign Z_EI84,EK24,57,Email,1,0,57
product 3,Automated,2,2021,Campaign_978,Campaign_978_GH72,YD34,57,Email,1,0,57
product 3,Automated,3,2021,Campaign_30,Campaign_30_EU78,TZ64,56,Email,1,0,56
product 5,Automated,4,2021,Campaign Z,Campaign Z_XJ28,FV45,56,Email,1,0,56
product 3,Automated,4,2021,Campaign_995,Campaign_995_LN62,ZF14,55,Email,1,0,55
product 3,Automated,2,2021,Campaign_334,Campaign_334_WO32,YQ41,55,Email,1,0,55
product 5,Automated,3,2021,Campaign Z,Campaign Z_LZ88,WB83,53,Email,1,0,53
product 5,Automated,7,2021,Campaign Z,Campaign Z_ZD23,JX31,53,Email,1,0,53
product 5,Automated,7,2021,Campaign Z,Campaign Z_BX93,FM97,52,Email,1,0,52
product 3,Automated,7,2021,Campaign_678,Campaign_678_CB72,CL47,52,Mobile (SMS),1,0,52
product 5,Automated,8,2021,Campaign Z,Campaign Z_RO78,MD97,52,Email,1,0,52
product 5,Automated,5,2021,Campaign Z,Campaign Z_KI71,OJ23,51,Email,1,0,51
product 5,Automated,6,2021,Campaign Z,Campaign Z_CU62,KI27,51,Email,1,0,51
product 5,Automated,8,2021,Campaign Z,Campaign Z_AZ73,AC38,51,Email,1,0,51
product 1,Automated,2,2021,Campaign_830,Campaign_830_XV18,GM87,51,Email,1,0,51
product 5,Automated,2,2021,Campaign Z,Campaign Z_YA14,PD99,50,Email,1,0,50
product 3,Automated,3,2021,Campaign_663,Campaign_663_BY11,PS88,50,Email,1,0,50
product 5,Automated,2,2021,Campaign Z,Campaign Z_RV11,ET52,49,Email,1,0,49
product 5,Automated,6,2021,Campaign Z,Campaign Z_CO21,JT27,49,Email,1,0,49
product 5,Automated,4,2021,Campaign Z,Campaign Z_UY41,OW29,48,Email,1,0,48
product 3,Automated,4,2021,Campaign_828,Campaign_828_OF18,PP16,48,Email,1,0,48
product 5,Automated,1,2021,Campaign Z,Campaign Z_ZR14,OE85,48,Email,1,0,48
product 3,Automated,5,2021,Campaign_693,Campaign_693_DT55,HF53,48,Email,1,0,48
product 5,Automated,5,2021,Campaign Z,Campaign Z_GF93,AS16,47,Email,1,0,47
product 1,Automated,6,2021,Campaign_742,Campaign_742_MH82,BA22,47,Email,1,0,47
product 5,Automated,1,2021,Campaign Z,Campaign Z_YL83,BA65,46,Email,1,0,46
product 3,Automated,1,2021,Campaign BG,Campaign BG_WS29,FO10,46,Web Message,1,0,46
product 3,Automated,8,2021,Campaign_953,Campaign_953_ZA72,YM63,46,Email,1,0,46
product 3,Automated,2,2021,Campaign_389,Campaign_389_HN41,RZ47,44,Email,1,0,44
product 3,Automated,6,2021,Campaign_794,Campaign_794_NQ35,XJ59,42,Email,1,0,42
product 3,Automated,6,2021,Campaign_324,Campaign_324_LH59,TF88,41,Email,1,0,41
product 3,Automated,2,2021,Campaign_100,Campaign_100_QM28,TU96,41,Email,1,0,41
product 3,Automated,7,2021,Campaign_159,Campaign_159_MN69,TP34,40,Email,1,0,40
product 3,Automated,8,2021,Campaign_598,Campaign_598_AV11,QP97,40,Email,1,0,40
product 5,Automated,9,2021,Campaign Z,Campaign Z_PD56,SD42,40,Email,1,0,40
product 1,Automated,8,2021,Campaign K,Campaign K_HO73,KT75,39,Android channel,1,0,39
product 5,Automated,9,2021,Campaign Z,Campaign Z_ML98,IN50,38,Email,1,0,38
product 1,Automated,7,2021,Campaign_965,Campaign_965_XA65,RG73,38,Email,1,0,38
product 3,Automated,7,2021,Campaign_851,Campaign_851_IR75,XI14,36,Email,1,0,36
product 3,Automated,3,2021,Campaign_513,Campaign_513_DU82,VO76,36,Email,1,0,36
product 3,Automated,9,2021,Campaign_25,Campaign_25_RK54,UZ16,36,Email,1,0,36
product 3,Automated,8,2021,Campaign AO,Campaign AO_TN69,TB79,35,Email,1,0,35
product 1,Automated,6,2021,Campaign_637,Campaign_637_TP38,FW80,34,iOS channel,1,0,34
product 3,Automated,9,2021,Campaign_375,Campaign_375_EY77,DW52,34,Email,1,0,34
product 5,Automated,9,2021,Campaign Y,Campaign Y_TJ14,WH39,34,iOS channel,1,0,34
product 3,Automated,3,2021,Campaign BH,Campaign BH_CY35,IT56,33,Web Message,1,0,33
product 3,Automated,3,2021,Campaign BH,Campaign BH_TM56,MQ59,33,Web Message,1,0,33
product 3,Automated,3,2021,Campaign BH,Campaign BH_PW22,SH28,33,Web Message,1,0,33
product 3,Automated,3,2021,Campaign BH,Campaign BH_BM21,TP29,33,Web Message,1,0,33
product 3,Automated,3,2021,Campaign BH,Campaign BH_SE29,AZ77,33,Web Message,1,0,33
product 3,Automated,3,2021,Campaign BH,Campaign BH_LA54,YH56,33,Web Message,1,0,33
product 3,Automated,3,2021,Campaign BH,Campaign BH_ME44,IA73,33,Web Message,1,0,33
product 3,Automated,3,2021,Campaign BH,Campaign BH_IR94,IH80,33,Web Message,1,0,33
product 3,Automated,9,2021,Campaign_824,Campaign_824_VS31,XM96,32,Email,1,0,32
product 1,Automated,8,2021,Campaign K,Campaign K_MP95,OI70,32,iOS channel,1,0,32
product 2,Automated,8,2021,Campaign K,Campaign K_XR95,LB36,32,iOS channel,1,0,32
product 1,Automated,5,2021,Campaign BN,Campaign BN_OW89,LF14,32,iOS channel,1,0,32
product 3,Automated,1,2021,Campaign BH,Campaign BH_DU18,XH10,31,Web Message,1,0,31
product 5,Automated,1,2021,Campaign BC,Campaign BC_JH36,WJ73,31,Email,1,0,31
product 3,Automated,5,2021,Campaign BH,Campaign BH_YA69,RW37,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BC,Campaign BC_QI54,MN36,31,Email,1,0,31
product 5,Automated,3,2021,Campaign BC,Campaign BC_XK23,UO30,31,Email,1,0,31
product 3,Automated,7,2021,Campaign BH,Campaign BH_CI59,KO26,31,Email,1,0,31
product 5,Automated,7,2021,Campaign BC,Campaign BC_NN88,FM40,31,Email,1,0,31
product 3,Automated,1,2021,Campaign BH,Campaign BH_EU10,DI52,31,Web Message,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_RB48,DA96,31,Email,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_IH96,ZG97,31,Web Message,1,0,31
product 4,Automated,7,2021,Campaign_686,Campaign_686_WC20,ZI20,31,Email,1,0,31
product 5,Automated,3,2021,Campaign BC,Campaign BC_MY80,SI80,31,Email,1,0,31
product 5,Automated,8,2021,Campaign X,Campaign X_FK98,KQ96,31,Email,1,0,31
product 5,Automated,7,2021,Campaign BC,Campaign BC_LV64,FK22,31,Email,1,0,31
product 5,Automated,3,2021,Campaign BC,Campaign BC_JX84,GC25,31,Email,1,0,31
product 4,Automated,1,2021,Campaign BJ,Campaign BJ_NA68,JZ60,31,Email,1,0,31
product 3,Automated,3,2021,Campaign BH,Campaign BH_VK33,YC20,31,Email,1,0,31
product 5,Automated,7,2021,Campaign BA,Campaign BA_JR50,OX97,31,Email,1,0,31
product 4,Automated,1,2021,Campaign_755,Campaign_755_ZM10,LQ97,31,Email,1,0,31
product 4,Automated,5,2021,Campaign BJ,Campaign BJ_QM34,NP93,31,Email,1,0,31
product 5,Automated,7,2021,Campaign BC,Campaign BC_TF26,DQ52,31,Email,1,0,31
product 3,Automated,1,2021,Campaign_564,Campaign_564_HY86,KU56,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BC,Campaign BC_OD73,NC46,31,Email,1,0,31
product 5,Automated,3,2021,Campaign X,Campaign X_PA70,VH12,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BA,Campaign BA_UQ41,IQ52,31,Email,1,0,31
product 5,Automated,5,2021,Campaign BV,Campaign BV_JR92,PS97,31,Email,1,0,31
product 5,Automated,5,2021,Campaign BC,Campaign BC_WP25,MC92,31,Email,1,0,31
product 4,Automated,3,2021,Campaign_252,Campaign_252_UB68,RZ45,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BL,Campaign BL_RY60,HN19,31,Web Message,1,0,31
product 5,Automated,7,2021,Campaign BV,Campaign BV_DT31,GG67,31,Email,1,0,31
product 3,Automated,7,2021,Campaign BH,Campaign BH_FZ52,CU53,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BC,Campaign BC_KD44,OU93,31,Email,1,0,31
product 5,Automated,1,2021,Campaign BC,Campaign BC_UG60,ZE94,31,Email,1,0,31
product 3,Automated,8,2021,Campaign BH,Campaign BH_EB23,VM60,31,Email,1,0,31
product 4,Automated,7,2021,Campaign BJ,Campaign BJ_UD27,TP48,31,Email,1,0,31
product 1,Automated,8,2021,Campaign Y,Campaign Y_UX15,UL12,31,Web Message,1,0,31
product 1,Automated,3,2021,Campaign X,Campaign X_XA99,MW53,31,Mobile (SMS),1,0,31
product 4,Automated,3,2021,Campaign BJ,Campaign BJ_KT44,QM51,31,Email,1,0,31
product 3,Automated,7,2021,Campaign BH,Campaign BH_JT77,SR16,31,Web Message,1,0,31
product 1,Automated,1,2021,Campaign BN,Campaign BN_NL79,KB28,31,iOS channel,1,0,31
product 5,Automated,3,2021,Campaign BC,Campaign BC_WK87,AM17,31,Email,1,0,31
product 3,Automated,3,2021,Campaign BH,Campaign BH_VV71,LX19,31,Email,1,0,31
product 3,Automated,5,2021,Campaign_536,Campaign_536_CK81,IW57,31,Email,1,0,31
product 5,Automated,1,2021,Campaign Z,Campaign Z_CZ93,HX96,31,Email,1,0,31
product 5,Automated,1,2021,Campaign X,Campaign X_UU82,KJ36,31,Email,1,0,31
product 3,Automated,8,2021,Campaign BH,Campaign BH_QK24,ZX18,31,Email,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_KX91,UR42,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BV,Campaign BV_QF71,RO38,31,Email,1,0,31
product 3,Automated,1,2021,Campaign BH,Campaign BH_SK20,AD42,31,Email,1,0,31
product 3,Automated,5,2021,Campaign BH,Campaign BH_QT48,DI20,31,Email,1,0,31
product 5,Automated,5,2021,Campaign BL,Campaign BL_UR59,PD75,31,Email,1,0,31
product 5,Automated,3,2021,Campaign BA,Campaign BA_BH19,XF54,31,Email,1,0,31
product 3,Automated,1,2021,Campaign BH,Campaign BH_CI55,JU76,31,Email,1,0,31
product 4,Automated,3,2021,Campaign_996,Campaign_996_UT50,GY82,31,Email,1,0,31
product 1,Automated,8,2021,Campaign Y,Campaign Y_KO67,IZ39,31,Android channel,1,0,31
product 3,Automated,5,2021,Campaign_962,Campaign_962_HF17,SA83,31,Email,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_BJ56,QZ67,31,Email,1,0,31
product 3,Automated,8,2021,Campaign_957,Campaign_957_SE13,QA38,31,Email,1,0,31
product 5,Automated,5,2021,Campaign X,Campaign X_HH61,CS16,31,Email,1,0,31
product 5,Automated,3,2021,Campaign X,Campaign X_LX90,BM44,31,Email,1,0,31
product 5,Automated,7,2021,Campaign BC,Campaign BC_EN19,QA59,31,Email,1,0,31
product 3,Automated,7,2021,Campaign BH,Campaign BH_LR49,WV49,31,Web Message,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_EX68,HJ68,31,Email,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_RS52,RW82,31,Email,1,0,31
product 5,Automated,8,2021,Campaign X,Campaign X_XU81,MI76,31,Email,1,0,31
product 3,Automated,5,2021,Campaign BH,Campaign BH_CE56,XR65,31,Email,1,0,31
product 3,Automated,1,2021,Campaign BH,Campaign BH_DY59,RB65,31,Email,1,0,31
product 5,Automated,7,2021,Campaign X,Campaign X_ZM36,FQ36,31,Email,1,0,31
product 5,Automated,3,2021,Campaign BA,Campaign BA_LK84,ZU44,31,Email,1,0,31
product 5,Automated,7,2021,Campaign BC,Campaign BC_RR70,XF55,31,Email,1,0,31
product 3,Automated,3,2021,Campaign BH,Campaign BH_ZJ38,RT20,31,Web Message,1,0,31
product 5,Automated,5,2021,Campaign BL,Campaign BL_ST12,FY44,31,Email,1,0,31
product 3,Automated,8,2021,Campaign_647,Campaign_647_OK28,EA60,31,Web Message,1,0,31
product 4,Automated,1,2021,Campaign BJ,Campaign BJ_IA79,KZ19,31,Email,1,0,31
product 5,Automated,3,2021,Campaign BC,Campaign BC_WM22,XP27,31,Email,1,0,31
product 4,Automated,8,2021,Campaign BJ,Campaign BJ_NF19,YD42,31,Email,1,0,31
product 5,Automated,9,2021,Campaign Z,Campaign Z_BI93,RW90,31,Email,1,0,31
product 1,Automated,8,2021,Campaign X,Campaign X_UY66,IK81,31,Email,1,0,31
product 3,Automated,5,2021,Campaign BH,Campaign BH_RV38,DO61,31,Web Message,1,0,31
product 4,Automated,1,2021,Campaign_492,Campaign_492_UZ94,UO66,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BL,Campaign BL_BC88,ZI79,31,Email,1,0,31
product 5,Automated,1,2021,Campaign BA,Campaign BA_SS25,WM69,31,Email,1,0,31
product 3,Automated,8,2021,Campaign_634,Campaign_634_ZF23,AN96,31,Email,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_KX13,YD42,31,Email,1,0,31
product 5,Automated,1,2021,Campaign BL,Campaign BL_JP90,HX27,31,Email,1,0,31
product 3,Automated,8,2021,Campaign BH,Campaign BH_VR32,PB71,31,Email,1,0,31
product 5,Automated,7,2021,Campaign BL,Campaign BL_IE38,VZ62,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BL,Campaign BL_BB63,XC55,31,Web Message,1,0,31
product 4,Automated,3,2021,Campaign_126,Campaign_126_ED50,QI56,31,Email,1,0,31
product 5,Automated,3,2021,Campaign BA,Campaign BA_YQ55,VY54,31,Email,1,0,31
product 3,Automated,3,2021,Campaign BH,Campaign BH_YX58,WF57,31,Email,1,0,31
product 4,Automated,1,2021,Campaign BJ,Campaign BJ_QD45,JE71,31,Email,1,0,31
product 3,Automated,1,2021,Campaign BH,Campaign BH_CE10,DU72,31,Web Message,1,0,31
product 4,Automated,8,2021,Campaign_252,Campaign_252_JT71,AV55,31,Email,1,0,31
product 5,Automated,1,2021,Campaign X,Campaign X_PP39,MZ95,31,Email,1,0,31
product 1,Automated,3,2021,Campaign X,Campaign X_BT52,PB29,31,Email,1,0,31
product 3,Automated,8,2021,Campaign BH,Campaign BH_TK49,IG80,31,Email,1,0,31
product 1,Automated,7,2021,Campaign BN,Campaign BN_EP86,JN70,31,Android channel,1,0,31
product 3,Automated,1,2021,Campaign BH,Campaign BH_EV47,LE45,31,Email,1,0,31
product 1,Automated,8,2021,Campaign Y,Campaign Y_AA69,HT42,31,iOS channel,1,0,31
product 3,Automated,1,2021,Campaign_784,Campaign_784_WQ68,CV23,31,Email,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_WK80,TY22,31,Web Message,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_EU42,LD19,31,Mobile (SMS),1,0,31
product 5,Automated,5,2021,Campaign BC,Campaign BC_IU50,DL55,31,Email,1,0,31
product 3,Automated,5,2021,Campaign BH,Campaign BH_PL63,MW79,31,Web Message,1,0,31
product 5,Automated,3,2021,Campaign BC,Campaign BC_KN42,BH61,31,Email,1,0,31
product 5,Automated,1,2021,Campaign Z,Campaign Z_FR10,KT40,31,Email,1,0,31
product 5,Automated,7,2021,Campaign BL,Campaign BL_IW50,HA82,31,Email,1,0,31
product 5,Automated,1,2021,Campaign BA,Campaign BA_IF11,CO94,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BC,Campaign BC_FQ89,YK30,31,Email,1,0,31
product 4,Automated,7,2021,Campaign BJ,Campaign BJ_QH81,UA63,31,Email,1,0,31
product 5,Automated,5,2021,Campaign BL,Campaign BL_NX30,TZ63,31,Email,1,0,31
product 5,Automated,1,2021,Campaign BC,Campaign BC_HI41,XX30,31,Email,1,0,31
product 5,Automated,1,2021,Campaign BL,Campaign BL_BU47,IS40,31,Email,1,0,31
product 3,Automated,3,2021,Campaign AO,Campaign AO_AS68,OI54,31,Email,1,0,31
product 4,Automated,8,2021,Campaign_7,Campaign_7_MQ22,MJ42,31,Email,1,0,31
product 4,Automated,5,2021,Campaign BJ,Campaign BJ_NK26,EV26,31,Email,1,0,31
product 5,Automated,5,2021,Campaign X,Campaign X_CU68,ES25,31,Email,1,0,31
product 4,Automated,7,2021,Campaign_771,Campaign_771_ZR57,DB75,31,Email,1,0,31
product 5,Automated,3,2021,Campaign BA,Campaign BA_KJ24,SR85,31,Email,1,0,31
product 4,Automated,1,2021,Campaign_371,Campaign_371_OO54,GJ36,31,Email,1,0,31
product 5,Automated,3,2021,Campaign BC,Campaign BC_NT93,OY59,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BL,Campaign BL_VO72,SW55,31,Email,1,0,31
product 5,Automated,1,2021,Campaign BA,Campaign BA_IO77,RP67,31,Email,1,0,31
product 1,Automated,8,2021,Campaign BN,Campaign BN_LM83,HY50,31,iOS channel,1,0,31
product 4,Automated,5,2021,Campaign BJ,Campaign BJ_XL88,PV85,31,Email,1,0,31
product 3,Automated,1,2021,Campaign BH,Campaign BH_VR12,WD31,31,Web Message,1,0,31
product 5,Automated,1,2021,Campaign BL,Campaign BL_YG74,EO94,31,Email,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_JB68,MY21,31,Email,1,0,31
product 5,Automated,5,2021,Campaign X,Campaign X_TP26,VL43,31,Email,1,0,31
product 1,Automated,5,2021,Campaign X,Campaign X_CF25,SP26,31,Mobile (SMS),1,0,31
product 1,Automated,5,2021,Campaign X,Campaign X_CG12,ZI17,31,Email,1,0,31
product 3,Automated,3,2021,Campaign BH,Campaign BH_GZ72,UK38,31,Email,1,0,31
product 4,Automated,3,2021,Campaign BJ,Campaign BJ_YF95,BI70,31,Email,1,0,31
product 5,Automated,1,2021,Campaign BA,Campaign BA_HZ30,GU69,31,Email,1,0,31
product 5,Automated,7,2021,Campaign X,Campaign X_DK68,VJ49,31,Mobile (SMS),1,0,31
product 5,Automated,8,2021,Campaign BL,Campaign BL_JQ63,AZ50,31,Email,1,0,31
product 4,Automated,3,2021,Campaign_17,Campaign_17_PQ79,NI82,31,Email,1,0,31
product 4,Automated,7,2021,Campaign BJ,Campaign BJ_HU76,FM46,31,Email,1,0,31
product 5,Automated,8,2021,Campaign Y,Campaign Y_LO99,QW83,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BC,Campaign BC_NM42,VR21,31,Email,1,0,31
product 5,Automated,5,2021,Campaign BA,Campaign BA_QC22,KO70,31,Email,1,0,31
product 3,Automated,5,2021,Campaign BH,Campaign BH_RY92,QM88,31,Email,1,0,31
product 3,Automated,5,2021,Campaign BH,Campaign BH_QM35,QC50,31,Web Message,1,0,31
product 4,Automated,7,2021,Campaign BJ,Campaign BJ_LF40,AN47,31,Email,1,0,31
product 5,Automated,8,2021,Campaign BL,Campaign BL_PM91,YS88,31,Email,1,0,31
product 5,Automated,1,2021,Campaign BC,Campaign BC_PE82,CH31,31,Email,1,0,31
product 4,Automated,1,2021,Campaign_505,Campaign_505_TW18,ZA43,31,Email,1,0,31
product 1,Automated,7,2021,Campaign X,Campaign X_CD20,SI69,31,Mobile (SMS),1,0,31
product 5,Automated,8,2021,Campaign X,Campaign X_GN31,NO52,31,Email,1,0,31
